file,species,temperature,nutrients,sample_ID,date,mean.dens.ml,day
20230823_00112,Tetrahymena,24,2,T34,2023-08-23,32.2303448275862,2
20230823_00113,Colpidium,24,1,C32,2023-08-23,44.490768,2
20230823_00114,Loxocephalus,24,3,L39,2023-08-23,984.21804,2
20230823_00115,Colpidium,24,4,C40,2023-08-23,61.68888,2
20230823_00117,Colpidium,24,4,C42,2023-08-23,36.45252,2
20230823_00118,Colpidium,24,3,C37,2023-08-23,93.468,2
20230823_00119,Tetrahymena,24,4,T41,2023-08-23,23.367,2
20230823_00120,Loxocephalus,24,2,L36,2023-08-23,595.39116,2
20230823_00121,Loxocephalus,24,1,L31,2023-08-23,640.068864,2
20230823_00122,Tetrahymena,24,3,T38,2023-08-23,104.310288,2
20230823_00123,Colpidium,24,4,C41,2023-08-23,214.228656,2
20230823_00124,Loxocephalus,24,4,L40,2023-08-23,1981.708536,2
20230823_00125,Tetrahymena,24,2,T35,2023-08-23,127.303416,2
20230823_00128,Tetrahymena,24,1,T32,2023-08-23,231.239832,2
20230823_00129,Colpidium,24,3,C39,2023-08-23,49.724976,2
20230823_00130,Loxocephalus,24,3,L37,2023-08-23,1547.643144,2
20230823_00131,Loxocephalus,24,5,L44,2023-08-23,271.99188,2
20230823_00132,Loxocephalus,24,2,L35,2023-08-23,1471.747128,2
20230823_00133,Tetrahymena,24,4,T42,2023-08-23,23.367,2
20230823_00134,Loxocephalus,24,4,L41,2023-08-23,1578.67452,2
20230823_00135,Colpidium,24,2,C36,2023-08-23,46.734,2
20230823_00136,Loxocephalus,26,2,L49,2023-08-23,684.933504,2
20230823_00137,Loxocephalus,26,3,L53,2023-08-23,1298.644392,2
20230823_00138,Colpidium,26,2,C49,2023-08-23,23.367,2
20230823_00139,Colpidium,26,1,C46,2023-08-23,46.734,2
20230823_00140,Loxocephalus,26,2,L50,2023-08-23,529.215816,2
20230823_00141,Tetrahymena,26,1,T48,2023-08-23,122.816952,2
20230823_00142,Loxocephalus,26,1,L46,2023-08-23,724.563936,2
20230823_00143,Loxocephalus,26,1,L47,2023-08-23,698.579832,2
20230823_00144,Loxocephalus,26,5,L58,2023-08-23,230.305152,2
20230823_00145,Tetrahymena,26,4,T57,2023-08-23,54.959184,2
20230823_00146,Colpidium,26,5,C59,2023-08-23,104.871096,2
20230823_00147,Tetrahymena,26,2,T51,2023-08-23,94.028808,2
20230823_00149,Tetrahymena,26,3,T54,2023-08-23,79.4478,2
20230823_00150,Tetrahymena,26,3,T52,2023-08-23,46.920936,2
20230823_00151,Colpidium,26,3,C52,2023-08-23,60.380328,2
20230823_00152,Loxocephalus,26,4,L55,2023-08-23,1349.117112,2
20230823_00153,Tetrahymena,26,1,T46,2023-08-23,84.1212,2
20230823_00154,Loxocephalus,26,3,L54,2023-08-23,1033.195272,2
20230823_00155,Colpidium,26,2,C50,2023-08-23,67.110024,2
20230823_00156,Loxocephalus,26,4,L57,2023-08-23,2578.034376,2
20230823_00157,Loxocephalus,26,3,L52,2023-08-23,1008.332784,2
20230823_00158,Colpidium,26,1,C47,2023-08-23,101.88012,2
20230823_00159,Tetrahymena,26,2,T49,2023-08-23,46.920936,2
20230823_00160,Tetrahymena,26,5,T58,2023-08-23,49.911912,2
20230823_00161,Tetrahymena,26,5,T59,2023-08-23,46.173192,2
20230823_00162,Tetrahymena,26,5,T60,2023-08-23,32.7521065573771,2
20230823_00163,Tetrahymena,26,4,T55,2023-08-23,72.344232,2
20230823_00165,Colpidium,26,5,C58,2023-08-23,44.490768,2
20230823_00166,Loxocephalus,26,5,L60,2023-08-23,79.821672,2
20230823_00167,Tetrahymena,26,3,T53,2023-08-23,48.790296,2
20230823_00168,Colpidium,26,4,C56,2023-08-23,46.734,2
20230823_00169,Colpidium,26,1,C48,2023-08-23,46.734,2
20230823_00170,Tetrahymena,26,2,T50,2023-08-23,121.321464,2
20230823_00171,Colpidium,26,5,C60,2023-08-23,30.657504,2
20230823_00172,Colpidium,26,3,C54,2023-08-23,85.616688,2
20230823_00173,Tetrahymena,26,1,T47,2023-08-23,124.873248,2
20230823_00174,Loxocephalus,26,2,L51,2023-08-23,959.729424,2
20230823_00175,Loxocephalus,26,1,L48,2023-08-23,476.499864,2
20230823_00176,Loxocephalus,26,5,L59,2023-08-23,185.627448,2
20230823_00178,Colpidium,26,3,C53,2023-08-23,81.504096,2
20230823_00179,Loxocephalus,26,4,L56,2023-08-23,1855.713672,2
20230823_00180,Colpidium,26,2,C51,2023-08-23,23.367,2
20230823_00181,Loxocephalus,28,5,L73,2023-08-23,912.808488,2
20230823_00182,Colpidium,28,1,C62,2023-08-23,46.734,2
20230823_00183,Loxocephalus,28,4,L70,2023-08-23,69.727128,2
20230823_00184,Colpidium,28,3,C69,2023-08-23,58.88484,2
20230823_00185,Loxocephalus,28,2,L65,2023-08-23,2161.167096,2
